,Time / Date,Active Time/Date,Area,Description,Device
5402,2023-09-02 오후 3:33,2023-09-02 오후 3:30,LP01,Timeout - Deposit position not ready  OK ,LP01
5414,2023-09-02 오후 3:30,2023-09-02 오후 3:30,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
5422,2023-09-02 오후 3:29,2023-09-02 오후 3:27,LP01,Timeout - Deposit position not ready  OK ,LP01
5423,2023-09-02 오후 3:29,2023-09-02 오후 3:27,LP01,Timeout - Deposit position not ready  OK ,LP01
5430,2023-09-02 오후 3:27,2023-09-02 오후 3:27,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
5510,2023-09-02 오후 3:07,2023-09-02 오후 3:07,LP01,Timeout - Deposit position not ready  OK ,LP01
5511,2023-09-02 오후 3:07,2023-09-02 오후 3:07,LP01,Timeout - Deposit position not ready  OK ,LP01
5512,2023-09-02 오후 3:07,2023-09-02 오후 3:07,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
5513,2023-09-02 오후 3:06,2023-09-02 오후 3:05,LP01,Timeout - Deposit position not ready  OK ,LP01
5514,2023-09-02 오후 3:06,2023-09-02 오후 3:05,LP01,Timeout - Deposit position not ready  OK ,LP01
5515,2023-09-02 오후 3:05,2023-09-02 오후 3:05,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
5537,2023-09-02 오후 3:02,2023-09-02 오후 3:02,LP01,Timeout - Deposit position not ready  OK ,LP01
5538,2023-09-02 오후 3:02,2023-09-02 오후 3:02,LP01,Timeout - Deposit position not ready  OK ,LP01
5539,2023-09-02 오후 3:02,2023-09-02 오후 3:02,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
5640,2023-09-02 오후 2:41,2023-09-02 오후 2:41,LP01,Timeout - Deposit position not ready  OK ,LP01
5641,2023-09-02 오후 2:41,2023-09-02 오후 2:41,LP01,Timeout - Deposit position not ready  OK ,LP01
5642,2023-09-02 오후 2:41,2023-09-02 오후 2:41,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
5649,2023-09-02 오후 2:40,2023-09-02 오후 2:40,LP01,Timeout - Deposit position not ready  OK ,LP01
5650,2023-09-02 오후 2:40,2023-09-02 오후 2:40,LP01,Timeout - Deposit position not ready  OK ,LP01
5653,2023-09-02 오후 2:40,2023-09-02 오후 2:40,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
5680,2023-09-02 오후 2:36,2023-09-02 오후 2:36,LP01,Timeout - Deposit position not ready  OK ,LP01
5681,2023-09-02 오후 2:36,2023-09-02 오후 2:36,LP01,Timeout - Deposit position not ready  OK ,LP01
5686,2023-09-02 오후 2:36,2023-09-02 오후 2:36,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
5713,2023-09-02 오후 2:30,2023-09-02 오후 2:28,LP01,Timeout - Deposit position not ready  OK ,LP01
5714,2023-09-02 오후 2:30,2023-09-02 오후 2:28,LP01,Timeout - Deposit position not ready  OK ,LP01
5730,2023-09-02 오후 2:28,2023-09-02 오후 2:28,LP01,Timeout - Deposit position not ready Digital Alarm,LP01
5791,2023-09-02 오후 2:18,2023-09-02 오후 2:18,LP01,Zone 01 is stopped. LPF  OK ,LP01
5792,2023-09-02 오후 2:18,2023-09-02 오후 2:18,LP01,Zone 01 is stopped. LPF  OK ,LP01
5796,2023-09-02 오후 2:18,2023-09-02 오후 2:17,LP01,System is stopped  OK ,LP01
5797,2023-09-02 오후 2:18,2023-09-02 오후 2:18,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
5810,2023-09-02 오후 2:18,2023-09-02 오후 2:17,LP01,Request for access for the LPF is requested or accepted  OK ,LP01
5829,2023-09-02 오후 2:17,2023-09-02 오후 2:17,LP01,System is stopped Digital Alarm,LP01
5832,2023-09-02 오후 2:17,2023-09-02 오후 2:17,LP01,Request for access for the LPF is requested or accepted Digital Alarm,LP01
5847,2023-09-02 오후 2:16,2023-09-02 오후 2:16,LP01,Zone 01 is stopped. LPF  OK ,LP01
5850,2023-09-02 오후 2:16,2023-09-02 오후 2:14,LP01,System is stopped  OK ,LP01
5851,2023-09-02 오후 2:16,2023-09-02 오후 2:16,LP01,Zone 01 is stopped. LPF Digital Alarm,LP01
5867,2023-09-02 오후 2:16,2023-09-02 오후 2:14,LP01,Request for access for the LPF is requested or accepted  OK ,LP01
5887,2023-09-02 오후 2:14,2023-09-02 오후 2:14,LP01,System is stopped Digital Alarm,LP01
